baseMean;log2FoldChange;lfcSE;stat;pvalue;padj
CPAR2_403500;123.808365638268;2.56203933037879;0.663975658287626;3.85863442190971;0.000114022348027149;0.000669548488313735
CPAR2_807230;243.444445939236;2.26751603644251;0.308746177753985;7.34427241476431;2.06881383487572e-13;9.06516607645543e-12
CPAR2_209460;16666.2373553262;2.35832460170446;0.672237625766388;3.50817108610343;0.00045119878361969;0.00213562501183002
CPAR2_301300;687.892290343569;2.42156039582946;0.685629570795648;3.53187858134434;0.000412618764884015;0.00198716647467872
CPAR2_203550;88.9343689595439;2.83226549669297;0.489379903302987;5.7874577145017;7.14596680920964e-09;1.2487091246063e-07
CPAR2_106260;1059.33158373178;2.08985707497486;0.215126859724406;9.71453345087697;2.6144356275498e-22;3.78047391743701e-20
CPAR2_207780;1752.87092553455;2.09211075266062;0.387305384970435;5.40170840335805;6.60091909799422e-08;9.45042476801945e-07
CPAR2_109010;2861.51332816553;2.79311145792608;0.614649411647022;4.54423514445678;5.51350831144357e-06;4.83894423097334e-05
CPAR2_805340;52.3501661060249;2.13437712485212;0.519328745837455;4.10987672444414;3.95870395300703e-05;0.000268745817654844
CPAR2_603610;7156.49773295263;3.53961270924633;0.218039944345424;16.2337810160087;2.90970751097384e-59;2.40424974906753e-56
CPAR2_703370;253.629163494109;2.2682146867323;0.366193628502717;6.1940309994101;5.86446850854372e-10;1.29465976539759e-08
CPAR2_402020;138.05273898059;2.23078817538841;0.288777315351374;7.72494256577619;1.11903787409986e-14;6.88565432318469e-13
CPAR2_108280;4324.02966040917;2.35122591489964;0.392660716947741;5.98793261820627;2.1252506877801e-09;4.16693219597292e-08
CPAR2_405810;6375.36726638987;2.39081862009279;0.215781405306833;11.0798176362469;1.57192402795232e-28;4.32952789413154e-26
CPAR2_700300;57.5663513452619;2.61979166223377;0.418628339263404;6.25803706180861;3.89853186417208e-10;8.91269102860526e-09
CPAR2_400570;1919.19423747271;2.45635804053844;0.143675180673225;17.0966065887551;1.57300662241925e-65;2.27456757601824e-62
CPAR2_800230;1007.44290790297;2.68257949640423;0.412451782991689;6.50398327035062;7.8220599609465e-11;2.02828932171056e-09
CPAR2_405780;2543.87874250524;2.66516333618976;0.637190882292698;4.18267651068727;2.88097182921546e-05;0.000203960110895743
CPAR2_100770;670.581972864438;2.22770955131174;0.715811071863249;3.11214737921423;0.00185731751063795;0.00696223232762793
CPAR2_401550;854.323877212523;2.21291127436935;0.297671765026346;7.4340650823013;1.0531011406391e-13;5.03399751855913e-12
CPAR2_203450;3371.87937190849;6.09971208374615;1.04513033746685;5.8363171224466;5.33672777749394e-09;9.67637412696707e-08
CPAR2_807700;224.30401856912;4.84290081151492;1.02449547793945;4.72710804078448;2.27740103829341e-06;2.18920446600416e-05
CPAR2_406210;181.283551275475;3.55173359328436;0.81811855254649;4.34134341805252;1.41614181494874e-05;0.000111290275239994
CPAR2_807600;336.574078987313;2.60349820138157;0.414090576782299;6.28726744185321;3.23102495695518e-10;7.4455172713262e-09
CPAR2_701420;668.902448360009;2.22686046490815;0.424654119787276;5.24393938771549;1.57183855040261e-07;2.03845609316787e-06
CPAR2_108340;122.431869574443;3.6146219686555;0.524100071339648;6.89681640266943;5.31808398631614e-12;1.76780446993405e-10
CPAR2_103400;3577.25981157581;2.36567282657968;0.257474150104845;9.1880013027186;4.00208051444763e-20;4.62960673911302e-18
CPAR2_403180;6939.33440782154;2.5781021273817;0.404939311578043;6.36663829287126;1.9321609289337e-10;4.69563815670273e-09
CPAR2_805760;90.0616708147429;4.70436454600866;0.981657608766849;4.79226616693599;1.64907921490317e-06;1.63047421863247e-05
CPAR2_808410;206.877449572339;2.64102682331084;0.866315474273465;3.04857399150781;0.00229930282766897;0.00818057989396222
CPAR2_211230;22.5310605226949;3.07602054526671;0.632792947292702;4.86102216914229;1.16781173285146e-06;1.21486026309583e-05
CPAR2_102550;794.12988173387;2.41358199257703;0.304426622728986;7.92828817315923;2.22187248772282e-15;1.4943384266266e-13
CPAR2_401450;412.718501057062;3.48111204084073;0.787874072135066;4.4183609588868;9.94522272925512e-06;8.13623313522088e-05
CPAR2_106960;23646.4342971288;2.04741802739932;0.129930162689729;15.7578347091623;6.06764975495072e-56;4.38691077282937e-53
CPAR2_402710;518.802924510055;2.06932236863629;0.257576162140827;8.03382716567111;9.44782616897451e-16;6.74644772362328e-14
CPAR2_102340;144.353726361974;2.16123377815391;0.50986258660746;4.23885539932318;2.24662301853797e-05;0.000165324014493939
CPAR2_805790;478.689717968674;2.28106551694841;0.178062181378085;12.8104996765425;1.43209387600948e-37;5.91659355631345e-35
CPAR2_500850;6775.78678082208;3.00022347195057;0.239511651504339;12.5264197090479;5.352491177587e-36;2.06392059807755e-33
CPAR2_702400;6114.10146440741;2.45657834544183;0.41881604844717;5.86553059404004;4.47698704177412e-09;8.2467812259941e-08
CPAR2_701130;544.640283365347;2.16266663638851;0.337843285482455;6.40139002111623;1.53968700883968e-10;3.78959559962924e-09
CPAR2_101860;306.118799430138;2.12534177494634;0.38045518425688;5.58631308730264;2.31940928159384e-08;3.71619481571711e-07
CPAR2_702980;401.724955067679;2.09994881545669;0.241790835830873;8.68498100120534;3.7880568947939e-18;3.5338904966916e-16
CPAR2_402640;616.435988996204;3.14130333494013;1.00964697676605;3.11128880413419;0.00186272664084259;0.00697645419472648
CPAR2_802240;408.763106585774;3.52268469203303;0.18332512934948;19.2155036493529;2.74556913210154e-82;5.29345728669177e-79
CPAR2_211270;242.199466409785;2.05298475217512;0.379487863715425;5.40988249815188;6.30661142828464e-08;9.05147406977626e-07
CPAR2_212210;2921.96345075557;2.83837429937956;0.301260939761151;9.42164723256162;4.44065954379943e-21;5.7077277336302e-19
CPAR2_304060;4263.13071069491;2.26694811078775;0.349971894036096;6.47751476452546;9.32456514933858e-11;2.37591563100328e-09
CPAR2_105270;658.202531147352;2.91518615676596;0.379651739684269;7.67857974044929;1.60862014798306e-14;9.59201952158147e-13
CPAR2_102400;72.5281560428839;2.64322485521122;0.363067763327667;7.28025212424526;3.33196872479083e-13;1.37657907887073e-11
CPAR2_405900;2085.95501377219;2.32664074142655;0.176937576284326;13.1495004638687;1.71302399858608e-39;9.00739164347445e-37
CPAR2_101870;2210.1336360495;2.33542797010308;0.315762245902475;7.39615961188846;1.40179498722577e-13;6.59185545212511e-12
NA.1;NA;NA;NA;NA;NA;NA
CPAR2_807040;468.90633546748;2.8876499208256;0.31883420761251;9.05690121034647;1.34209058866699e-19;1.41139126633634e-17
CPAR2_101620;9248.85216861561;2.18383617508734;0.164973163516931;13.2375237798189;5.32765640983516e-40;3.08151646744866e-37
CPAR2_211810;32434.1693562077;2.09765863785201;0.604170101127681;3.47196697409676;0.000516659892803866;0.00240375884873616
